"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 31 19:44:50 BDT 2022","Mon Jan 31 19:44:55 BDT 2022","5072","E-commerce portal automation","Sale product","TestRunner.SaleTestRunner","TestRunner.SaleTestRunner","doClickSaleTab","doClickSaleTab",""
"passed","Mon Jan 31 19:46:03 BDT 2022","Mon Jan 31 19:46:10 BDT 2022","6364","E-commerce portal automation","Shop Product","TestRunner.ShopProductTestRunner","TestRunner.ShopProductTestRunner","ShopProductsProducts","ShopProductsProducts",""
"passed","Mon Jan 31 19:45:58 BDT 2022","Mon Jan 31 19:46:03 BDT 2022","4885","E-commerce portal automation","Shop Product","TestRunner.ShopProductTestRunner","TestRunner.ShopProductTestRunner","ShopSearchProducts","ShopSearchProducts",""
"passed","Mon Jan 31 19:45:15 BDT 2022","Mon Jan 31 19:45:40 BDT 2022","24922","E-commerce portal automation","Sale product","TestRunner.SaleTestRunner","TestRunner.SaleTestRunner","AddCartSaleCheckoutBlankPlaceOrder","AddCartSaleCheckoutBlankPlaceOrder",""
"passed","Mon Jan 31 19:46:25 BDT 2022","Mon Jan 31 19:46:25 BDT 2022","293","E-commerce portal automation","Shop Product","TestRunner.ShopProductTestRunner","TestRunner.ShopProductTestRunner","NotAvailableColor","NotAvailableColor",""
"passed","Mon Jan 31 19:46:20 BDT 2022","Mon Jan 31 19:46:25 BDT 2022","5067","E-commerce portal automation","Shop Product","TestRunner.ShopProductTestRunner","TestRunner.ShopProductTestRunner","NotAvailableProduct","NotAvailableProduct",""
"passed","Mon Jan 31 19:46:10 BDT 2022","Mon Jan 31 19:46:20 BDT 2022","10156","E-commerce portal automation","Shop Product","TestRunner.ShopProductTestRunner","TestRunner.ShopProductTestRunner","AvailableColor","AvailableColor",""
"passed","Mon Jan 31 19:44:55 BDT 2022","Mon Jan 31 19:44:55 BDT 2022","156","E-commerce portal automation","Sale product","TestRunner.SaleTestRunner","TestRunner.SaleTestRunner","GetCurrentUrL","GetCurrentUrL",""
"passed","Mon Jan 31 19:45:52 BDT 2022","Mon Jan 31 19:45:58 BDT 2022","6802","E-commerce portal automation","Shop Product","TestRunner.ShopProductTestRunner","TestRunner.ShopProductTestRunner","ShopProductSortByPopularity","ShopProductSortByPopularity",""
"passed","Mon Jan 31 19:45:46 BDT 2022","Mon Jan 31 19:45:52 BDT 2022","5730","E-commerce portal automation","Shop Product","TestRunner.ShopProductTestRunner","TestRunner.ShopProductTestRunner","ShopSearchAllProduct","ShopSearchAllProduct",""
"passed","Mon Jan 31 19:44:55 BDT 2022","Mon Jan 31 19:45:15 BDT 2022","19679","E-commerce portal automation","Sale product","TestRunner.SaleTestRunner","TestRunner.SaleTestRunner","AddCartSaleInvalidCoupon","AddCartSaleInvalidCoupon",""
"passed","Mon Jan 31 19:44:18 BDT 2022","Mon Jan 31 19:44:28 BDT 2022","9654","E-commerce portal automation","Purchase Product","TestRunner.PurchaseTestRunner","TestRunner.PurchaseTestRunner","doPurchaseTab","doPurchaseTab",""
"passed","Mon Jan 31 19:44:55 BDT 2022","Mon Jan 31 19:44:55 BDT 2022","168","E-commerce portal automation","Sale product","TestRunner.SaleTestRunner","TestRunner.SaleTestRunner","Tittle","Tittle",""
"passed","Mon Jan 31 19:44:28 BDT 2022","Mon Jan 31 19:44:44 BDT 2022","15397","E-commerce portal automation","Purchase Product","TestRunner.PurchaseTestRunner","TestRunner.PurchaseTestRunner","AddToCart","AddToCart",""
